  seconds  |     gc     |     consed     |    calls    |  sec/call  |  name  
     4.088 |      0.029 |    519,407,056 |   8,643,766 |   0.000000 | CL-GDSFEEL/GEOM:MAT3*
     1.703 |      0.277 |  3,345,360,224 |  26,153,839 |   0.000000 | 2D-GEOMETRY:MAKE-POINT
     1.555 |      0.000 |        163,328 |  26,153,839 |   0.000000 | CL-GDSFEEL/GEOM:P
     0.851 |      0.166 |  3,257,142,976 |  16,845,964 |   0.000000 | CL-GDSFEEL/GEOM:MAKE-MAT3
     0.760 |      0.070 |  1,248,771,296 |  25,931,298 |   0.000000 | CL-GDSFEEL/GEOM::POINTER
     0.643 |      0.020 |    208,807,760 |     996,209 |   0.000001 | CL-GDSFEEL/MODEL:COORDS-2A
     0.586 |      0.018 |    432,602,896 |   1,076,919 |   0.000001 | CL-GDSFEEL/GEOM:SET-AFFINE-PARAMETERS
     0.503 |      0.000 |              0 |           1 |   0.502875 | CL-GDSFEEL/IUP-GUI::OPEN-STREAM-FORMAT-DIALOG
     0.425 |      0.000 |              0 |  26,214,864 |   0.000000 | 2D-GEOMETRY:X
     0.300 |      0.000 |              0 |  26,214,864 |   0.000000 | 2D-GEOMETRY:Y
     0.182 |      0.000 |     24,870,912 |   1,059,374 |   0.000000 | CL-GDSFEEL/GEOM:BBOX-WIDTH
     0.117 |      0.004 |     15,431,504 |   1,059,374 |   0.000000 | CL-GDSFEEL/GEOM:BBOX-HEIGHT
     0.071 |      0.000 |         32,736 |   4,384,386 |   0.000000 | CL-GDSFEEL/MODEL::CACHED-BBOX
     0.061 |      0.000 |              0 |   4,983,286 |   0.000000 | CL-GDSFEEL/GEOM::DOTPAIRP
     0.050 |      0.020 |     11,000,752 |      15,155 |   0.000003 | CL-GDSFEEL/STREAM::BODY-DATA
     0.047 |      0.000 |     37,567,856 |     243,452 |   0.000000 | NET.TUXEE.PATHS:POINT-ROTATE
     0.047 |      0.000 |     44,307,328 |     243,452 |   0.000000 | NET.TUXEE.PATHS::INTERPOLATION-NORMAL
     0.039 |      0.000 |              0 |     323,676 |   0.000000 | CL-GDSFEEL/MODEL:CHILDREN
     0.036 |      0.000 |     15,194,496 |     267,411 |   0.000000 | NET.TUXEE.PATHS:PATH-EXTEND
     0.034 |      0.000 |              0 |     323,246 |   0.000000 | CL-GDSFEEL/MODEL:REF-STRUCTURE
     0.033 |      0.000 |        425,168 |         581 |   0.000057 | CL-GDSFEEL/IUP-GUI::SET-STATUS
     0.026 |      0.000 |              0 |      70,256 |   0.000000 | 2D-GEOMETRY:BOUNDING-BOXES-INTERSECT-P
     0.025 |      0.016 |      5,233,760 |      56,470 |   0.000000 | NET.TUXEE.PATHS:FILTER-DISTINCT
     0.024 |      0.000 |         32,752 |     967,517 |   0.000000 | CL-GDSFEEL/MODEL:LAYER
     0.019 |      0.000 |              0 |     965,771 |   0.000000 | CL-GDSFEEL/IUP-GUI::LAYER-COLOR
     0.019 |      0.000 |     20,414,464 |     210,824 |   0.000000 | NET.TUXEE.PATHS:POINT-DISTANCE
     0.019 |      0.000 |     21,495,744 |   1,059,369 |   0.000000 | 2D-GEOMETRY:DISTANCE
     0.018 |      0.000 |     17,263,216 |      19,687 |   0.000001 | CL-GDSFEEL/STREAM::FIX-CE-VALUE
     0.015 |      0.000 |      1,707,040 |         581 |   0.000026 | CL-GDSFEEL/IUP-GUI::CANVAS-MOTION-CB
     0.013 |      0.000 |     22,839,296 |      65,256 |   0.000000 | NET.TUXEE.PATHS::LINE-INTERSECTION/DELTA
     0.011 |      0.016 |    264,876,816 |     996,209 |   0.000000 | CL-GDSFEEL/MODEL:COORDS
     0.011 |      0.000 |              0 |      15,155 |   0.000001 | CL-GDSFEEL/STREAM::HEADER-SYMBOL
     0.011 |      0.000 |        945,680 |      89,098 |   0.000000 | NET.TUXEE.PATHS::INTERPOLATION-CLONE
     0.011 |      0.000 |     13,993,728 |     243,452 |   0.000000 | NET.TUXEE.PATHS:P*
     0.009 |      0.000 |              0 |      28,235 |   0.000000 | NET.TUXEE.PATHS:PATH-REVERSE
     0.008 |      0.000 |              0 |     322,982 |   0.000000 | CL-GDSFEEL/MODEL:ELEMENTS
     0.007 |      0.002 |     17,554,144 |      84,705 |   0.000000 | NET.TUXEE.PATHS::MAKE-PATH
